,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,-0.30480847,-0.12164955,-0.33337662,0.09901632,0.07801982,-0.4582167,-0.18796138,-0.0667954,-0.06878603,0.030330533,0.15677592,-0.4498183,0.08583528,-0.5098759,0.078519315,0.038260203,0.024467181,-0.15143801,-0.38039878,-0.13542365,0.18904835,-0.060704656,0.0805037,-0.058597732,-0.0049004047,0.011723682,-0.1721673,0.22099298,-0.005265997,-0.23897386,0.015438496,-0.094711274,-0.14507392,0.09298756,-0.14745836,0.08918362,-0.06239814,-0.08280949,-0.12470159,0.05695221,-0.20537531,0.17497453,-0.34994212,-0.06633351,-0.25385064,-0.4809927,0.141051,-0.18222673,-0.28117526,0.14158598,-0.43945953,-0.1907716,0.26675972,-0.20521457,0.16466254,-0.18140142,-0.15169707,-0.071459696,-0.24818519,0.037669078,-0.42438623,-0.3419423,0.15636092,-0.28698283
1,-0.846935,0.018340334,0.1088973,-0.22779368,-0.23496768,0.09885355,-0.10323957,-0.027871832,-0.43705702,0.031959966,-0.40839055,-0.40886858,-0.016709156,0.19036303,-0.4069754,-0.438445,0.17842251,-0.07751134,0.06706093,-0.3725158,0.069852576,-0.24155663,0.011878926,-0.64274025,-0.58055353,-0.58150494,-0.4388109,0.24482404,-0.71886057,-0.7264527,-0.0769785,0.19629955,-0.19838932,-0.37532353,-0.25564295,-0.50540966,-0.0011427857,0.02634903,-0.2546065,-0.11850332,-0.041581698,-0.093529105,-0.44333106,-0.74988586,-0.28675613,0.1904402,-0.357333,0.1945117,0.086946726,0.056447737,-0.10268458,-0.3262621,-0.07883819,0.003083252,0.109966986,-0.5643274,-0.36255062,-0.3798557,0.22911274,-0.7150175,0.12882762,-0.27642816,-0.18843152,-0.65814155
2,-0.056790326,-0.9008174,-1.1183363,0.012247179,-0.65030307,-0.04480191,-0.9303792,-0.122633584,-0.43646017,-0.020261763,0.25274405,-0.030204056,-0.12228453,0.0431633,-0.5313267,-0.06300735,-0.14922342,-0.0052673817,-0.4300865,0.1592634,0.08867989,-0.68074584,0.026306365,-0.7644751,-0.17902808,0.10405517,0.066549234,-0.8669585,-0.117276676,-0.30692562,0.10447109,-0.15831114,-1.0123687,-0.2535113,0.04093487,-2.0494962,-1.4714003,0.03260216,0.073200524,0.04492228,0.2708465,0.06913902,0.0062004887,-0.056089714,-0.3208149,-0.5154654,-1.308789,-0.35068944,-0.8510504,-0.3424368,-0.5580932,-0.033093046,-0.91582566,0.020968396,-0.3844266,-0.45483667,0.042501025,0.0420942,-0.7732007,0.105457805,-0.5439443,-0.3550888,0.1988904,0.10637177
3,-0.4716493,-0.27152044,0.049196176,-0.92556566,-1.1374347,-0.08302734,0.0454348,-0.3664346,-0.10159319,-0.03402544,-0.45285505,0.06504733,-0.54562646,0.22934926,0.08928885,0.1707865,-0.38848817,-0.33696097,0.013524503,-0.0931048,-0.3047338,0.11619298,-0.023270827,0.10507891,0.18410882,0.08531508,-0.37792307,-0.0045236396,0.13328408,-0.20013037,-1.0292685,-0.13206947,0.15759823,-0.28160048,0.008751234,0.19136664,0.18992762,0.07169624,-0.46103856,-1.3114612,-0.23470406,-2.453492,0.025289569,0.16972922,-0.47102097,-0.32932803,-0.19754505,-0.30702755,0.12835222,-0.7287326,0.25285295,-0.30674034,-0.743403,0.088996015,-0.5088139,0.3150477,-0.32874703,-0.6519825,0.15530433,0.2929405,0.082697704,0.18291266,-0.0009506715,-0.08434877
4,0.08904276,-0.6393009,-0.40515646,-0.26962852,0.049191136,-0.1278468,-0.29319948,-0.28546104,-0.35842976,0.05272815,-0.25736418,0.28970802,-0.10209954,0.19181314,0.22536777,0.10916257,-0.071778364,-0.33628008,-0.37157473,0.2515276,-0.4676994,0.046286933,0.11020642,0.06667139,-0.040203784,0.0575595,-0.09221754,-0.2344691,0.014596809,0.059266917,-0.18207213,-0.049743004,0.14394394,0.11245378,-0.21133474,0.15791336,0.17234474,0.008995217,0.25201687,-0.41097808,-0.35760182,-0.25576097,0.15450868,0.02019119,-0.74729055,-0.3219717,-0.23352899,-0.7029417,-0.050440658,-0.3300902,0.04993909,-0.36548626,-0.5182675,0.20509106,-0.5377124,-0.20542884,-0.048487663,-0.43471313,0.0010228939,-0.038605098,0.01043523,0.14425208,-0.2605283,0.06849633
5,-0.08581433,-0.8722265,-0.45734102,-0.9287516,-0.44984666,-0.13246125,0.10178969,0.19067574,-0.50909185,0.14428772,0.23087364,-0.2243325,-0.00085538736,0.0038772428,0.13136804,-0.8574911,-0.3270988,0.20771605,0.072998196,-0.9407862,-0.2556516,-0.0010462365,-1.4558927,-0.22728057,-0.04907979,-0.17855419,0.16414034,-1.3150368,-0.400029,-0.1048419,-0.45285764,0.17122172,-0.47091985,-0.6231625,-0.38354635,-1.1187496,-0.7911502,0.11368602,0.17123464,-0.24244727,-0.30905214,-0.21828468,-0.17983128,-0.80251384,-0.29852724,-0.118512355,-0.78756756,-0.5139401,-0.1259389,-0.25334838,0.19085795,-0.14785135,-0.7863933,0.09225653,-0.11399352,-0.16754365,0.12735887,-0.1654771,-0.02324734,-1.3769867,-0.29024985,0.33420765,0.12370708,-0.38662723
6,-1.3834724,-0.0717196,-0.3613918,0.04305634,0.12595315,-0.10931998,0.0038218661,0.13805899,0.0032719153,-0.80594283,-0.82305896,-1.1012526,0.17940055,-0.42559648,0.13782078,-0.41980174,-0.2500829,-0.40938386,-0.0644901,-0.009810409,0.03657888,-0.28448486,-0.023749243,0.17000587,0.25782955,0.055666868,-0.50386894,-0.39369825,-0.28317484,-0.42966425,-0.2218695,-0.0644015,-0.04219608,0.18039237,-0.18062852,-0.33412695,-0.3985458,-0.5324822,-1.0821227,0.2843925,0.01389749,0.096954465,-0.38727632,-0.72053295,-0.09231232,-0.12902266,0.13162822,-0.009239991,-0.25096607,0.10473981,-0.15569188,0.06267192,-0.38246408,-0.5346279,0.20136914,0.13041031,-0.38230184,-0.24973123,-0.55856574,-0.44858333,-0.2747466,-0.20805308,0.04849946,-0.8724197
7,-0.6298179,-0.16187313,-0.70423025,0.20692985,0.09443306,0.0026924603,-0.19806509,0.02219156,-0.11972937,-0.6475954,-0.87341654,-0.2427076,0.1333923,-0.72685623,-0.01912874,-0.33106253,-0.6918031,0.106180795,-0.2780541,0.14437492,0.09238525,0.017010646,0.046847966,0.12923153,0.1996734,0.013002491,-1.0549494,-0.19547966,-0.24971351,-0.17441042,-0.37408173,-0.9098347,0.18072228,0.10382663,0.13737263,-0.052926727,-0.09455427,-0.49203065,-0.14673947,-0.09483594,-0.06217597,0.13944405,0.016226925,-0.11170066,0.12405986,-0.106913745,0.06641162,0.019436304,-0.20818968,0.09861993,0.052089065,-0.05610952,-0.2334411,0.071968004,0.05142102,0.14240283,-0.030767113,-0.03443991,-0.6260493,-0.010646243,-0.29304484,0.2157111,0.079840824,-0.42730796
8,-0.22634524,-0.53146935,-0.41725764,-0.024398647,-0.8827208,-0.034489904,0.041418158,0.06578155,-0.54805857,0.048923604,0.092100434,-0.022970442,-0.071566716,0.012264958,-0.015432748,-0.15691386,0.13563332,-0.10807235,-0.014412037,0.05937375,0.14640824,-0.14878559,0.059770692,0.090090685,0.1794762,0.11745508,0.07181841,-0.77947056,-0.03325409,-0.07485819,-0.12762466,0.07201017,-0.24021645,-0.06440439,0.18682985,-0.48824805,-0.79012436,-0.19650143,0.14241019,-0.44235095,0.07045674,-0.16047378,0.13621324,-0.1979112,-0.22666776,-0.24077676,-0.45543706,-0.7131007,-0.09087504,-0.8979046,-0.26211935,0.03701595,-0.28599274,0.07002663,-1.04524,0.0043943287,0.08257108,0.119924985,-0.15166079,-0.2123645,-0.5357029,-0.15439612,0.072432935,0.058822814
9,-0.021866664,-0.11342129,-1.2866516,0.016967501,-0.14518216,-0.18896304,-0.35217085,-0.33612576,0.04537802,-0.33866537,0.095783874,0.0573216,-0.09974134,-1.1496315,-0.06457048,-0.07307794,-0.34271604,-0.4026367,-1.2389648,-0.23890072,0.12491755,-0.2578149,-0.094730526,-0.42394334,-0.29788432,0.12939207,-0.12532173,-0.06360881,-0.24478006,-0.4619004,0.21235226,-0.7106123,-0.4978178,-0.017195571,-0.22545418,0.06492597,-0.048568163,-0.8946538,-0.40929833,-0.1157542,-0.39566073,0.12897457,-0.15292555,-0.13094652,-0.4073483,-0.3310324,-0.30848116,0.057861663,-1.8966051,0.022097709,-2.0669503,-0.6769928,-0.30823588,-0.7031954,0.119518995,-0.45756966,0.004463847,0.07036711,-1.2819705,-0.1551816,-0.38069528,-1.1672401,0.15306747,0.07633021
10,-0.44374108,-0.5526302,0.13978079,-0.41932142,-0.593435,0.11185563,-0.08278425,0.08748038,-0.24983063,0.029736958,0.15745702,-0.36541215,-0.07856961,-0.07823104,0.064387985,-0.047075037,-0.17160441,-0.053082902,-0.11886516,0.11800598,-0.0002508621,0.08820353,0.12312298,0.1271337,0.31920308,0.19732644,-0.13891171,-0.47331068,0.1070065,-0.09000189,-0.2982911,-0.14432296,0.052853063,-0.32605067,0.34751368,0.0490637,0.05993688,0.0350648,0.12813227,-0.59132624,0.20915584,-0.6919258,0.15869728,-0.008944781,-0.520595,-0.07239853,-0.15892044,-0.45447373,0.0032431248,-0.39242625,0.060735904,0.17424697,0.073442295,0.09621529,-0.76693475,0.16253245,0.12607704,-0.06662243,-0.0032332668,-0.09080526,0.040671807,0.049510784,0.286963,-0.13441047
11,-0.64649945,-0.11414124,-0.19490892,-0.00027744813,0.1590683,-0.27618283,-0.7181383,0.1668852,-0.16550824,-1.1593482,-0.71824604,-0.8895172,0.144602,-1.1547811,0.10625642,-0.76394004,-0.57474846,-0.5580982,-0.22903134,-0.06928815,0.0630173,-0.566131,-0.027435608,0.060860008,0.23691039,-0.008252153,-0.29121917,-0.70946795,-0.68446606,-0.5460719,-0.27319708,-0.4910718,-0.037999783,0.10370379,-0.38967523,-0.14340031,-0.4824234,-0.9790476,-1.2203239,0.17909557,-0.46757618,0.123587385,-0.6311552,-1.145476,-0.08787621,-0.19026704,0.22552872,-0.013830153,-0.4589358,0.08082843,-0.42668366,-0.014421486,-0.33726364,-0.6559265,0.11313792,0.11883658,-0.28083506,-0.23114446,-0.8712166,-1.2627028,-0.548915,-0.2039464,0.049351748,-0.72498757
12,0.04056728,-0.22831215,0.25096166,-0.5280417,0.25974923,0.002263646,0.1564453,0.14147818,0.29896948,-0.19706123,-0.11076995,-0.49412993,0.04353044,-0.19986616,-0.45104253,-0.822293,-0.025722686,-0.50667477,0.27497873,-0.15309732,0.024401423,-0.123180084,-0.45829123,0.05618658,0.07953873,-0.8369611,0.11453412,-0.033814453,-0.6306537,0.21134399,-0.5839634,-0.20660448,-0.06581517,-0.7372008,0.22688076,-0.56525016,0.19995171,-0.32410392,-0.073703796,-0.8548928,-0.2467893,-0.43109107,-0.042902343,-0.58452153,-0.39000195,0.18625402,0.2510852,0.062263377,0.12055791,-0.16032633,-0.6770708,-0.5628968,-0.27783087,-0.44955817,-0.18280965,-0.14311408,-0.36308584,-0.62066257,-0.02981885,-0.563857,0.07226393,-0.51286757,-0.452302,-0.6284648
